Product Name,Prices,Reviews
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹37,999",4.4
"realme 15 Pro 5G (Silk Purple, 256 GB)","₹37,999",4.4
"realme 15 Pro 5G (Flowing Silver, 256 GB)","₹35,999",4.3
"realme 15 Pro 5G (Velvet Green, 256 GB)","₹35,999",4.3
"vivo V50 5G (Starry Night, 512 GB)","₹38,999",4.5
"Google Pixel 10 (Indigo, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Obsidian, 256 GB)","₹79,999",4.5
"OPPO Reno13 5G (Blue, 128 GB)","₹29,990",4.4
"MOTOROLA Edge 60 Pro (Pantone Dazzling Blue, 512 GB)","₹37,999",4.4
"Google Pixel 10 (Frost, 256 GB)","₹79,999",4.5
"Google Pixel 10 (Lemongrass, 256 GB)","₹79,999",4.5
"vivo V60 5G (Auspicious Gold, 256 GB)","₹36,499",4.5
"vivo V50 5G (Titanium Grey, 256 GB)","₹34,999",4.5
"OPPO Reno 12 Pro 5G (Manish Malhotra Limited Edition, 256 GB)","₹36,999",4.4
"vivo V60 5G (Moonlit Blue, 256 GB)","₹36,339",4.5
"vivo V50 5G (Starry Night, 256 GB)","₹33,690",4.5
"OPPO Reno 12 Pro 5G (Space Brown, 256 GB)","₹32,998",4.4
"OPPO Reno 12 Pro 5G (Sunset Gold, 256 GB)","₹31,989",4.4
"Xiaomi 14 CIVI (Panda White, 512 GB)","₹36,999",4.3
"Mi 10T (Cosmic Black, 128 GB)","₹17,490",4.2
"OnePlus 11 5G (Eternal Green, 128 GB)","₹32,183",4.4
"Samsung Galaxy S23 FE (Graphite, 128 GB)","₹34,999",4.4
"OPPO K13 Turbo Pro 5G (Purple Phantom, 256 GB)","₹36,999",4.4
"OPPO K13 Turbo Pro 5G (Silver Knight, 256 GB)","₹36,999",4.4
"vivo V50 5G (Rose Red, 256 GB)","₹34,499",4.5
"vivo V50 5G (Titanium Grey, 512 GB)","₹38,999",4.5
